followers_count,friends_count,listed_count,favourites_count,statuses_count,has_extended_profile,bot
1291,0,10,0,78554,FALSE,1
1,349,0,38,31,FALSE,1
1086,0,14,0,713,FALSE,1
33,0,8,0,676,FALSE,1
11,745,0,146,185,FALSE,1
1,186,0,0,11,TRUE,1
193,0,19,0,6068,FALSE,1
8227,2,89,26,2597,FALSE,1
275,0,17,23,9922,FALSE,1
51,3,9,0,2515,FALSE,1
51,1,12,0,111,FALSE,1
2,1,4,0,230,FALSE,1
0,29,0,0,0,,1
1,206,0,0,0,,1
0,38,0,0,0,,1
109,0,16,0,16067,FALSE,1
250,0,25,0,31721,FALSE,1
15,1941,1,319,406,FALSE,1
190,1899,0,27,0,FALSE,1
181,0,24,0,21506,FALSE,1
10175,11465,199,328,65022,FALSE,1
23,4,8,4,6230,FALSE,1
106126,0,999,2,30156,FALSE,1
2302,3,161,4,7640,FALSE,1
443,2,17,6,9584,FALSE,1
27,1,10,0,145,FALSE,1
191,2,19,0,5684,FALSE,1
1,35,1,54,82,FALSE,1
651,0,36,0,19867,FALSE,1
37,45,7,0,191,FALSE,1
331,56,36,23,29989,FALSE,1
1327,2,92,0,24199,FALSE,1
0,52,0,0,0,,1
54,0,5,2,1585,FALSE,1
4247,2,72,587,109325,FALSE,1
0,54,0,7,18,FALSE,1
163,2,74,64,552492,FALSE,1
32,1,12,0,6181,FALSE,1
903,1,50,0,3654,FALSE,1
108,10,9,10,537,FALSE,1
190,1,23,1,4032,FALSE,1
675,118,66,8,15437,FALSE,1
1,340,0,33,49,FALSE,1
89,1225,0,2,2,FALSE,1
1076,0,40,0,12674,FALSE,1
399,679,20,64,26073,FALSE,1
394,3537,0,46,349,FALSE,1
4,96,0,3,0,FALSE,1
0,140,0,2,12,TRUE,1
1334,0,13,7,59023,FALSE,1
36,1,6,0,510,FALSE,1
8,1,1,0,29,FALSE,1
1451,1,44,0,15020,FALSE,1
1807,101,258,124,125403,FALSE,1
1,63,0,0,1,FALSE,1
82,49,10,0,16728,FALSE,1
2,20,0,66,127,FALSE,1
0,25,0,56,73,FALSE,1
78,1,14,0,4438,FALSE,1
403,6,16,1,12395,FALSE,1
7324,456,202,5109,3334,FALSE,1
68,0,15,1,25193,FALSE,1
108,1,20,0,19770,FALSE,1
120,0,22,0,5614,FALSE,1
0,330,0,21,29,FALSE,1
0,22,0,71,100,FALSE,1
15,19,0,0,19,FALSE,1
23,0,7,0,63,FALSE,1
127,180,6,76087,12702,TRUE,1
175986,14914,1829,1,18839,FALSE,1
731,1,28,0,2576,FALSE,1
182,0,6,0,433,FALSE,1
123,0,35,0,29410,FALSE,1
1287,1,116,0,62797,FALSE,1
110,1797,0,12,4,FALSE,1
9,0,6,0,1412,TRUE,1
102437,3,500,0,13953,FALSE,1
4,350,0,4,6,,1
1,44,0,66,78,FALSE,1
281,5,1,1,22739,FALSE,1
104669,5438,979,385,7897,FALSE,1
23472,2,653,120,59327,FALSE,1
43,1,13,4,26955,FALSE,1
11,74,0,0,1,FALSE,1
928,0,20,0,71773,FALSE,1
63,2,15,1,2672,FALSE,1
71,2,14,1,644,FALSE,1
131,2,27,0,4499,FALSE,1
171,4,13,1,8808,FALSE,1
6859,5458,279,73498,46537,FALSE,1
3730,21,5204,155,306026,FALSE,1
4,244,0,10,17,FALSE,1
277,4887,5,1,41,FALSE,1
31,23,4,2,170,FALSE,1
1078,0,23,0,2,FALSE,1
8,0,1,0,123,TRUE,1
14,3,7,0,13752,FALSE,1
9978,10829,9,681,862,TRUE,1
0,32,0,69,93,FALSE,1
204,1,34,0,7491,FALSE,1
20,9,2,0,2311,FALSE,1
109,153,0,25,24,TRUE,1
539,10,36,5,212479,FALSE,1
227,292,0,0,12,FALSE,1
105,4,4,0,1571,FALSE,1
1022,0,96,0,403392,FALSE,1
33,1526,0,1,1,FALSE,1
4,19,0,0,0,,1
1,342,0,41,43,FALSE,1
0,310,0,17,27,FALSE,1
1,420,0,88,80,FALSE,1
0,346,0,14,28,FALSE,1
23,0,10,0,376,FALSE,1
254,16,31,43,13695,FALSE,1
20,9,4,0,445,FALSE,1
516,0,27,0,4145,FALSE,1
5,464,0,78,88,FALSE,1
447990,487927,4233,4055,107503,FALSE,1
1,338,0,26,30,FALSE,1
255,1,28,0,12821,FALSE,1
16,1862,0,285,392,FALSE,1
268,99,56,0,5099,FALSE,1
742,38,27,3,367778,FALSE,1
61,31,14,0,627,FALSE,1
105,1,13,9,570,TRUE,1
26,35,7,9,9117,FALSE,1
13,1,2,0,1035,FALSE,1
7724,22,186,9,16682,FALSE,1
38413,2,438,2722,146227,FALSE,1
124,158,10,55,3597,FALSE,1
142,14,12,0,26,FALSE,1
434,0,41,0,3033,FALSE,1
9,462,0,84,72,FALSE,1
44,0,5,5,1220,FALSE,1
505,3673,0,745,595,FALSE,1
67078,0,940,0,12064,FALSE,1
19048,2,135,7,220592,FALSE,1
69508,70633,441,109,423314,TRUE,1
0,100,0,0,0,,1
30,0,11,0,1560,FALSE,1
1,116,0,0,1,FALSE,1
0,34,0,37,61,FALSE,1
261,1,46,1,4776,FALSE,1
1058,1,83,0,7678,FALSE,1
15,1,7,2,75,FALSE,1
14,0,7,2,3422,FALSE,1
2,106,0,0,1,,1
344,24,8,1,161,FALSE,1
78,221,0,261,1953,FALSE,1
21,19,3,0,1160,FALSE,1
12,33,0,47,65,FALSE,1
669,7,162,9396,21522,FALSE,1
0,34,0,0,0,,1
324,0,23,0,6664,FALSE,1
283,443,1,4021,2864,FALSE,1
95,3,0,0,2464,FALSE,1
571,15,19,1,1181,FALSE,1
20,1827,0,312,387,FALSE,1
3,523,0,87,113,FALSE,1
16,25,3,1,150,TRUE,1
782,0,14,0,276,FALSE,1
6,0,4,0,241,TRUE,1
187,1,36,1,10881,FALSE,1
659,806,19,1,9565,FALSE,1
9,89,0,0,4,FALSE,1
40,0,14,0,884,FALSE,1
2,350,0,32,34,FALSE,1
1,365,0,29,25,FALSE,1
160,3,17,1,4080,FALSE,1
972,43,24,253,7460,FALSE,1
34,22,9,0,19078,FALSE,1
176,5,16,0,5685,FALSE,1
156,1,19,0,22280,FALSE,1
736,3482,4,22,681,FALSE,1
2,323,0,40,34,FALSE,1
76,0,4,0,183,FALSE,1
970,1642,15,145,976,FALSE,1
32,0,10,0,1038,FALSE,1
762,317,29,293,40206,FALSE,1
231,0,15,0,622,FALSE,1
7,664,1,157,187,FALSE,1
531,1,44,0,25992,FALSE,1
23,0,1,2,99,FALSE,1
3,49,0,4,1,FALSE,1
139,7,6,3,497,FALSE,1
66,601,2,25,1697,FALSE,1
693,386,14,18,3271,FALSE,1
3,57,0,0,1,FALSE,1
0,60,0,0,0,,1
55,1,8,0,1841755,FALSE,1
64,32,8,2,4269,FALSE,1
102,2,3,0,51833,FALSE,1
0,290,0,30,35,FALSE,1
1214,2573,30,967,415,FALSE,1
18,3,4,0,1817,FALSE,1
255,5,8,0,288,FALSE,1
72,0,20,0,2233,FALSE,1
253,57,18,9,36435,FALSE,1
0,346,0,30,39,FALSE,1
244,0,21,0,14990,FALSE,1
20,1,6,0,1578,FALSE,1
0,68,0,0,1,TRUE,1
1929,2753,28,1843,10337,FALSE,1
660,0,23,0,4773,FALSE,1
358,1,15,1,42988,FALSE,1
1,259,0,14,33,FALSE,1
25,897,0,38,20,FALSE,1
2,97,0,0,0,FALSE,1
1056,1576,76,55901,87824,FALSE,1
17504,0,62,0,27782,FALSE,1
12,2034,0,333,476,FALSE,1
68,1,15,1,401,FALSE,1
12,0,6,0,156,FALSE,1
6027,0,36,2,116980,FALSE,1
3947,4728,94,70947,91770,FALSE,1
25,1935,0,267,368,FALSE,1
3,519,0,97,107,FALSE,1
3,6,1,16,17,FALSE,1
560,0,17,0,17873,FALSE,1
0,30,0,39,60,FALSE,1
12,1,2,0,692,FALSE,1
4,259,0,12,12,FALSE,1
0,100,0,0,0,,1
17,500,0,1,4,FALSE,1
49,1537,0,0,1,FALSE,1
638,60,0,1,4647,FALSE,1
21172,20058,162,0,80502,FALSE,1
547,650,15,1,6857,FALSE,1
0,34,0,55,71,FALSE,1
116,1,14,1,1031,FALSE,1
194,3,18,0,5652,FALSE,1
12368,0,265,34,587,FALSE,1
2682,403,180,6309,72033,TRUE,1
176,2,19,0,23319,FALSE,1
160,12,24,0,14279,FALSE,1
18,0,9,0,1590,TRUE,1
35,1,9,0,4402,FALSE,1
5,714,0,124,189,FALSE,1
1829,8,51,62,27851,FALSE,1
1,262,0,25,28,FALSE,1
0,26,0,39,57,FALSE,1
152,0,85,0,3301,FALSE,1
24,2000,0,273,315,FALSE,1
162,0,14,0,20469,FALSE,1
62,0,13,0,166,FALSE,1
107,334,21,19,5394,FALSE,1
0,231,0,17,20,FALSE,1
509,35,33,0,10551,FALSE,1
288,1,16,0,3427,FALSE,1
117,353,10,7,2853,FALSE,1
198,2,20,1,11675,FALSE,1
2,12,0,202,0,,1
873,8,4,0,20734,FALSE,1
99,0,24,0,75,FALSE,1
134,0,17,0,7597,FALSE,1
15,1,5,0,5017,FALSE,1
4,47,0,0,1,FALSE,1
145,1,19,0,6758,FALSE,1
19,1952,2,290,420,FALSE,1
1,236,0,25,24,FALSE,1
41,1,17,0,3048,FALSE,1
1,80,0,0,1,TRUE,1
1229,83,49,21,614,FALSE,1
1,341,0,33,42,FALSE,1
167,5,2,0,607,FALSE,1
1129,7,2,0,23557,FALSE,1
0,22,0,0,1,FALSE,1
3,0,3,0,1050,FALSE,1
505,13,49,0,5109,FALSE,1
15,0,11,0,31365,FALSE,1
16,1,4,0,1832,FALSE,1
41,394,0,3,4,TRUE,1
549,370,12,12,4658,FALSE,1
0,60,0,0,10,FALSE,1
0,43,4,48,86,FALSE,1
102,3,21,0,10873,FALSE,1
578,17,96,0,5234,FALSE,1
1,34,0,68,98,FALSE,1
1456,12,122,4,72096,FALSE,1
0,1,0,0,0,,1
14,253,0,2,0,FALSE,1
506,11,48,5,41052,FALSE,1
307,0,21,1,423,FALSE,1
518,5,51,0,94196,FALSE,1
0,118,0,0,0,,1
1,4,0,22,4,FALSE,1
50,2,10,0,1228,FALSE,1
3,336,0,29,39,FALSE,1
394,0,48,0,7956,FALSE,1
428,410,13,630,16989,FALSE,1
630,4,42,96,15036,FALSE,1
928,20,23,7,3421,FALSE,1
44,5,11,3,2396,FALSE,1
20,0,7,0,50,FALSE,1
5831,57,354,16,457649,FALSE,1
26,0,6,0,6832,FALSE,1
10014,27,326,0,14473,TRUE,1
8939,6003,516,710,5846,FALSE,1
2,386,0,28,41,FALSE,1
467,956,0,261,5748,FALSE,1
94,1,25,0,2383,FALSE,1
6664,1,196,0,6025,FALSE,1
0,335,0,24,32,FALSE,1
4,0,1,0,1469,FALSE,1
37,35,8,0,9,FALSE,1
0,247,0,28,24,FALSE,1
14,214,0,0,3,TRUE,1
537,1,18,0,281,FALSE,1
284,66,30,0,5986,FALSE,1
0,27,0,38,60,FALSE,1
80,0,29,0,10794,FALSE,1
120,836,0,1,8,FALSE,1
293,344,2,0,8638,FALSE,1
243,4,4,0,69595,FALSE,1
18,3,8,1,1456,FALSE,1
79,80,3,23,901,FALSE,1
576,31,60,8,2370,FALSE,1
2,42,1,29,39,FALSE,1
0,349,0,42,77,FALSE,1
21,0,7,0,1343,FALSE,1
16,1,4,1,2001,FALSE,1
239,0,53,0,22089,FALSE,1
9968,2,185,3399,8782,FALSE,1
0,223,0,24,24,FALSE,1
8,86,0,12,3,FALSE,1
906,2434,0,277,528,FALSE,1
1,352,0,29,33,FALSE,1
1419,1,61,5,32244,FALSE,1
39,0,0,1,303,TRUE,1
835,2290,22,74533,17259,TRUE,1
2,360,0,27,60,FALSE,1
856,1078,7,0,130262,FALSE,1
240,45,22,66,1993,FALSE,1
4213,0,220,0,4364,FALSE,1
77,490,0,1,15,FALSE,1
0,336,0,23,23,FALSE,1
172,5,21,5,3497,FALSE,1
213,0,38,0,1063,FALSE,1
379,12,38,0,22371,FALSE,1
335,0,32,1,17375,FALSE,1
102,86,0,0,1,TRUE,1
52,0,15,0,93310,FALSE,1
5631,6,188,48,6574,FALSE,1
10,15,0,13,3,FALSE,1
66,1,7,4,70,FALSE,1
4965,0,244,1,67870,FALSE,1
14917,227,27,919,53398,FALSE,1
20,0,16,0,42453,FALSE,1
803,31,34,0,808,FALSE,1
164,0,35,51,2714,FALSE,1
17,1,8,0,1522,FALSE,1
9,0,5,0,6,FALSE,1
9632,0,239,0,13936,FALSE,1
0,86,0,0,0,,1
6,109,0,0,2,FALSE,1
1784,43,89,5,389,FALSE,1
79,0,3,5,4007,FALSE,1
96,29,10,0,195,FALSE,1
600,818,40,651,1787,FALSE,1
52,2,5,0,702,FALSE,1
184,0,8,0,1125,FALSE,1
945,2027,3,2847,13935,FALSE,1
67,0,17,0,886,FALSE,1
1,29,0,48,72,FALSE,1
338,471,5,35,260,TRUE,1
2925,3,139,0,708,FALSE,1
10,0,2,0,10370,FALSE,1
47,197,0,62,1,FALSE,1
54,1351,0,2,6,FALSE,1
0,9,0,0,0,FALSE,1
209,16,20,0,21278,FALSE,1
335,3,22,2,4934,FALSE,1
1,369,0,28,36,FALSE,1
62,0,19,0,4106,FALSE,1
155,0,34,0,14702,FALSE,1
125,1,30,0,3201,FALSE,1
499,53,51,75,2592,FALSE,1
2,1,1,0,1360,FALSE,1
70,5,8,2,4310,FALSE,1
305,4,13,0,112538,FALSE,1
956,0,34,0,434,FALSE,1
543,3911,0,141,0,FALSE,1
37,0,8,0,0,FALSE,1
13,164,1,0,5,FALSE,1
107,30,17,2,11151,FALSE,1
34284,17397,889,0,191383,FALSE,1
273,37,42,0,10115,FALSE,1
8,45,0,3,5,FALSE,1
3459,2282,11,3888,57256,TRUE,1
275,1,2,1,1961,FALSE,1
1325,1797,64,0,18265,FALSE,1
1690,0,38,108,15530,FALSE,1
0,21,0,0,1,FALSE,1
71,0,14,0,1490,FALSE,1
2,501,0,102,130,FALSE,1
4856,2162,85,0,1223,FALSE,1
354,1,47,0,29635,FALSE,1
0,39,0,0,0,,1
455,480,23,42,6320,FALSE,1
1,341,0,44,36,FALSE,1
0,243,0,13,18,FALSE,1
128,1814,0,7,18,FALSE,1
3,39,0,0,3,FALSE,1
151,1437,0,1,5,FALSE,1
137,0,24,0,86797,FALSE,1
2108,3,60,8,49270,FALSE,1
153,0,15,0,2072,FALSE,1
0,27,0,86,127,FALSE,1
41,1,11,0,673,FALSE,1
460,65,26,14,9058,FALSE,1
1569,4882,0,95,112,FALSE,1
7852,1,400,8,27610,FALSE,1
50,0,0,0,926,FALSE,1
74,7,27,1,80949,FALSE,1
2108,1,76,2,5619,FALSE,1
0,266,0,22,35,FALSE,1
1474799,1,6818,1793,20990,FALSE,1
396,0,17,0,3608,FALSE,1
166,25,18,0,3622,FALSE,1
5388,0,178,0,31751,FALSE,1
8,1,7,0,258,FALSE,1
8063,1,13,42,119,FALSE,1
148,0,22,0,1723,FALSE,1
7154703,240,4240,640,5995,FALSE,1
9,484,0,87,109,FALSE,1
47,1,9,0,2610,FALSE,1
3,38,0,3,5,TRUE,1
13,5,4,0,10693,FALSE,1
1655947,0,5482,124,480858,FALSE,1
2149,1,198,0,3741,FALSE,1
1,261,0,24,21,FALSE,1
646,1221,38,25654,26729,TRUE,1
18672,0,252,0,18270,FALSE,1
16,1,11,0,1237,FALSE,1
14,1978,0,289,426,FALSE,1
4,102,0,2,0,TRUE,1
280,48,30,3,4722,FALSE,1
147,0,22,0,1388,FALSE,1
20,0,10,0,5131,FALSE,1
918,0,13,2,92849,FALSE,1
12,64,0,0,7,FALSE,1
1381,0,45,0,1292,FALSE,1
4948,296,15,17,41190,FALSE,1
27,2257,2,288,323,FALSE,1
0,30,0,0,0,,1
0,18,0,0,0,,1
0,44,0,73,106,FALSE,1
2,51,0,75,125,FALSE,1
213,213,18,0,5988,FALSE,1
189,366,0,1,36,FALSE,1
166,1,24,0,17017,FALSE,1
136,1,21,5,34446,FALSE,1
100,1,19,257,6605,FALSE,1
98,274,7,1,37,FALSE,1
90,1,20,4,6703,FALSE,1
7,0,8,0,5669,FALSE,1
292,1,26,0,1958,FALSE,1
4198,3,313,15,158639,FALSE,1
60,0,19,0,1476,FALSE,1
1,74,0,0,1,FALSE,1
4355,2,194,3,26381,FALSE,1
74,0,121,0,4415,FALSE,1
3,270,0,19,22,FALSE,1
3,631,0,115,177,FALSE,1
9,93,0,0,8,FALSE,1
263,13,16,0,452,FALSE,1
8,0,4,0,528,FALSE,1
30,564,0,5,22,TRUE,1
5528,117,197,71,5201,FALSE,1
1,495,0,87,97,FALSE,1
274,2,14,21,15340,FALSE,1
1640,26,20,14,19151,FALSE,1
689,4,35,1,46115,FALSE,1
647,0,7,3,75704,FALSE,1
1870,4,102,3,16468,FALSE,1
2,316,0,22,31,FALSE,1
3523,2726,142,32,18407,FALSE,1
0,10,0,56,79,FALSE,1
2,362,0,34,39,FALSE,1
33,13,10,0,1136,FALSE,1
7,30,0,0,2,FALSE,1
570,0,40,1,5096,FALSE,1
993,4992,20,8,108,TRUE,1
3153,103,6295,0,288368,FALSE,1
209,578,0,29,130,FALSE,1
15659,0,380,0,849518,FALSE,1
17,1926,1,279,369,FALSE,1
99,563,1,1,46,FALSE,1
34,1,8,0,41492,FALSE,1
0,37,0,0,0,,1
492,14,27,1,107,FALSE,1
69,1513,0,0,1,FALSE,1
6,0,6,0,1066,FALSE,1
43536,1,131,1,104405,FALSE,1
712,623,38,1423,38905,FALSE,1
153,0,7,0,144271,FALSE,1
119,0,11,0,1761,FALSE,1
9,1,9,0,2983,FALSE,1
41,8,0,0,2,FALSE,1
213,0,23,0,5685,FALSE,1
463,14,28,4,2754,FALSE,1
17,215,0,0,1,FALSE,1
90,22,0,0,29724,FALSE,1
93,95,15,0,23391,FALSE,1
20,1867,0,286,397,FALSE,1
153,2,9,3,391,FALSE,1
119,1,21,0,18719,FALSE,1
27,1928,0,314,355,FALSE,1
0,25,0,0,0,FALSE,1
12,0,4,0,251,FALSE,1
978,2104,3,3,114,TRUE,1
575,0,43,6,4204,TRUE,1
1,69,0,0,11,FALSE,1
0,67,0,0,0,,1
1514,4218,2,523,522,FALSE,1
55,2,4,0,759,FALSE,1
41056,304,39,1009,63307,TRUE,1
2097,4,62,0,47707,FALSE,1
2399,4936,147,319,5581,FALSE,1
27728,65,589,452,16231,FALSE,1
42,0,3,1,964,FALSE,1
110,111,14,0,3609,FALSE,1
4294,7,41,134,72621,FALSE,1
0,264,0,11,20,FALSE,1
340,0,51,0,188270,FALSE,1
1902,3,447,11,95201,FALSE,1
493,7,28,0,2964,TRUE,1
39,0,14,0,208,FALSE,1
190,657,31,39,594,FALSE,1
557,3,6,11,440,FALSE,1
1651,1,52,0,1599,FALSE,1
202,8,23,0,2978,FALSE,1
986,1,87,15734,30417,FALSE,1
957,2826,39,3255,4413,FALSE,1
3,343,0,37,41,FALSE,1
0,148,0,7,17,FALSE,1
372,4815,0,15,2,FALSE,1
7503,0,122,1,108527,FALSE,1
10407,11555,256,0,25783,FALSE,1
1511,138,101,0,30161,FALSE,1
29,1,9,0,105,FALSE,1
253,0,37,0,40184,FALSE,1
1174,19,58,23,1145,FALSE,1
6805,88,25,0,3272,TRUE,1
1,280,0,19,16,FALSE,1
943,1,75,0,14074,FALSE,1
79,0,21,0,40308,FALSE,1
302,1,53,0,2953,FALSE,1
10684,158,31,41,91,TRUE,1
75,0,7,0,6414,FALSE,1
158,2410,0,0,1,FALSE,1
7,1,8,0,5856,FALSE,1
1,387,0,33,44,FALSE,1
101,1,19,0,1281,FALSE,1
133,271,0,39,18,FALSE,1
280,0,24,0,717,FALSE,1
299,1,21,0,3855,FALSE,1
3738,7,86,24,59713,FALSE,1
4,0,5,0,127,TRUE,1
1,41,0,154,1,FALSE,1
180,4,7,2,5265,FALSE,1
280,0,28,0,6413,FALSE,1
36,1,7,0,3649,FALSE,1
632,0,42,0,2822,FALSE,1
1,30,0,98,106,FALSE,1
371,5,45,1,70202,FALSE,1
17,564,0,0,4,FALSE,1
20,287,0,2,1,TRUE,1
412,15,32,0,46926,FALSE,1
533,0,42,0,7145,FALSE,1
2623,5,52,409,3952,FALSE,1
202,1,28,0,1678,FALSE,1
98,24,7,2,3336,FALSE,1
694,0,54,0,22368,FALSE,1
168,2,18,0,12406,FALSE,1
147,0,31,0,96,FALSE,1
4087,1,5,1,3549,FALSE,1
75,4,12,12,1770,TRUE,1
8,669,1,133,177,FALSE,1
237,1,32,0,27579,FALSE,1
0,60,0,0,0,,1
8,91,0,0,18,FALSE,1
702,1359,4,0,94409,FALSE,1
129,4,19,0,1168,FALSE,1
292,2225,0,0,0,FALSE,1
0,461,0,64,93,FALSE,1
4,445,0,60,80,FALSE,1
1,258,0,14,14,FALSE,1
99,0,17,0,1665,FALSE,1
66,2,24,0,432,FALSE,1
752,0,4,86,21132,FALSE,1
15,3,2,721,854,FALSE,1
1902,94,98,5,21114,FALSE,1
5744,3,112,2,105941,FALSE,1
1,162,0,0,0,FALSE,1
8,0,6,0,41,FALSE,1
52,222,0,10,1,FALSE,1
421,1636,34,0,4701,FALSE,1
413,148,37,0,22,FALSE,1
1479,3,11,19,32440,FALSE,1
252,2,38,70,15823,FALSE,1
163,206,11,12,502,FALSE,1
3,30,0,0,1,TRUE,1
65,0,21,0,10069,FALSE,1
6766,3006,169,83,79860,FALSE,1
1637,1770,18,2,66824,FALSE,1
116,0,39,0,8421,FALSE,1
24,712,1,2,22,TRUE,1
239,344,15,0,9347,FALSE,1
8073,1,118,0,29984,FALSE,1
29,97,0,0,3,TRUE,1
0,20,0,0,0,,1
372,1136,1,1,46,TRUE,1
6,0,5,0,2751,FALSE,1
16748,41,11,20542,837,FALSE,1
204,0,28,2,23502,FALSE,1
12853,13,453,0,4874,FALSE,1
16,3,5,1,119,FALSE,1
592885,13699,13723,3716,51157,FALSE,1
36,0,12,1,394,FALSE,1
392,0,17,0,1325,FALSE,1
5476,385,96,4,5846,FALSE,1
22,2107,1,297,387,FALSE,1
3,230,0,23,25,FALSE,1
2,352,0,23,44,FALSE,1
51,0,19,0,13622,FALSE,1
61,3,12,0,6000,FALSE,1
3569,6,137,134,2459,TRUE,1
2,262,0,13,19,FALSE,1
11,201,0,26,5,TRUE,1
1226,2636,24,25,664,TRUE,1
1,455,0,72,121,FALSE,1
57,1,10,0,79525,FALSE,1
1211,1,35,0,160,FALSE,1
0,338,0,32,35,FALSE,1
0,98,0,0,2,FALSE,1
131,1,26,0,1622,FALSE,1
247,0,53,2,17811,FALSE,1
85,13,2,1637,115,FALSE,1
284,29,31,1,4865,FALSE,1
5259,3881,65,83,545,FALSE,1
176,16,25,4,5040,FALSE,1
66,1,13,0,2989,FALSE,1
36,0,9,0,416,FALSE,1
633,43,65,76,1627,FALSE,1
7,163,0,0,1,FALSE,1
55,1343,0,0,0,FALSE,1
5,505,0,90,114,FALSE,1
5730,951,223,3634,16205,FALSE,1
4956,7,202,100,2179,FALSE,1
2,350,0,20,21,FALSE,1
533,2,34,2,1056,FALSE,1
8,725,0,172,191,FALSE,1
98,8,14,2,3375,FALSE,1
29,0,16,0,2839,FALSE,1
2,14,0,1,1,FALSE,1
461,95,95,0,115356,FALSE,1
601,0,53,0,24135,FALSE,1
912,1164,56,3951,23106,FALSE,1
236,0,26,0,9719,FALSE,1
85,4707,0,2,4,FALSE,1
14491,134,1229,2923,2497530,FALSE,1
281,0,27,0,879,FALSE,1
60,11,11,2,4882,FALSE,1
10,1,4,0,787,FALSE,1
174,6,13,0,1699,FALSE,1
66,1801,1,0,30,TRUE,1
148,0,21,0,12083,FALSE,1
2047969,102396,13095,860,67905,FALSE,1
326,947,0,0,13,TRUE,1
2,353,0,18,30,FALSE,1
15,134,0,0,3,FALSE,1
445,4997,2,109,83,TRUE,1
369,1,16,0,318279,FALSE,1
8392,30,159,1361,5730,FALSE,1
20723,3,159,33,663,FALSE,1
0,30,0,0,0,,1
2800,3049,19,20941,17985,FALSE,1
939,0,21,1,626,FALSE,1
4896,8,2186,57638,57640,FALSE,1
1,331,1,15,29,FALSE,1
500,0,24,0,5719,FALSE,1
139,43,8,0,6345,FALSE,1
5,0,2,0,424,FALSE,1
1,498,0,103,102,FALSE,1
30,0,8,0,11572,FALSE,1
207,5,23,108,728,FALSE,1
45,0,13,0,81,FALSE,1
190,187,20,1,11079,FALSE,1
38,113,0,1,1,FALSE,1
197,0,82,0,684818,FALSE,1
3,659,1,136,169,FALSE,1
598,1,42,0,9684,FALSE,1
88195,82994,1736,892,1933,FALSE,1
132,0,31,0,14516,FALSE,1
2,25,0,44,88,FALSE,1
187,4271,0,51,165,FALSE,1
8,5,6,0,27,FALSE,1
879,1,151,2426,1217604,FALSE,1
12,0,7,2,8637,FALSE,1
9,25,0,400,385,FALSE,1
6,36,0,77,151,FALSE,1
0,32,0,59,82,FALSE,1
1,337,0,38,30,FALSE,1
211,1,31,0,46816,FALSE,1
113,0,32,0,25120,FALSE,1
0,235,0,14,14,FALSE,1
1810,1,36,24,35024,FALSE,1
58,0,18,0,7839,FALSE,1
86,28,16,127,211,FALSE,1
17,4,4,0,228,FALSE,1
14,593,0,1,4,FALSE,1
12,742,1,148,175,FALSE,1
35,2118,5,364,570,FALSE,1
5,69,0,2,0,,1
86,433,1,174,26,FALSE,1
29,10,16,0,5197,FALSE,1
1254,2,2852,3,335950,FALSE,1
36,0,12,879,467,FALSE,1
252,6,17,11,236,FALSE,1
2,52,0,87,128,FALSE,1
0,308,0,21,24,FALSE,1
52,1,15,0,15085,FALSE,1
0,30,0,0,0,,1
39,0,12,0,9729,FALSE,1
1421,2157,25,166,169,FALSE,1
1701,1,145,1,3105,FALSE,1
0,20,0,0,0,,1
17,0,6,0,1859,FALSE,1
82,1,18,0,2087,FALSE,1
1,398,0,31,61,FALSE,1
10,168,1,18,4,TRUE,1
69,1193,0,2,10,FALSE,1
4,140,0,0,1,,1
21,1880,5,305,454,FALSE,1
292,0,30,0,40166,FALSE,1
4419,1,129,12,10626,FALSE,1
0,18,0,0,0,,1
1786,2525,21,1,136932,FALSE,1
148,1,18,0,178,FALSE,1
286,0,22,0,94599,FALSE,1
85,0,5,0,205,FALSE,1
276,264,27,2,83013,FALSE,1
206,124,0,0,4,FALSE,1
81,1,10,0,2459,FALSE,1
74704,1,618,5919,49429,FALSE,1
212,2,54,0,8468,FALSE,1
116,1,9,0,4659,FALSE,1
371,1,32,2,3849,FALSE,1
12,1053,0,0,2,FALSE,1
156,2,12,4,7075,FALSE,1
17,0,6,1,0,FALSE,1
2482,1,94,4,5597,FALSE,1
50,0,2,1,1557,FALSE,1
404,621,9,12,1169,FALSE,1
175,2,20,2,8843,FALSE,1
0,70,0,0,0,,1
5,0,4,0,4472,FALSE,1
662,0,67,0,56625,FALSE,1
4,492,0,57,76,FALSE,1
7,31,0,19,69,FALSE,1
11,1983,0,323,397,FALSE,1
152,374,0,47,1044,FALSE,1
3,29,0,0,1,FALSE,1
1264,1288,115,0,24133,FALSE,1
128,1,16,1,3533,FALSE,1
0,26,0,47,65,FALSE,1
46,20,8,0,516,FALSE,1
684,68,5,6,9645,TRUE,1
7,0,5,0,104,FALSE,1
20,300,0,6,1,FALSE,1
3745,0,171,0,3063,FALSE,1
35906,35744,130,864,3027,FALSE,1
78,2,5,1,677,FALSE,1
68,0,18,2,2407,FALSE,1
51,2,24,4,18514,FALSE,1
